"","idigbio.uuid","dwc.genus","dwc.specificEpithet","dwc.institutionCode","dwc.catalogNumber"
"106","0ea80a76-b557-46b4-b622-99a39fa08647","Holothuria","aculeata","CAS","111366"
"107","30a924f5-208e-48da-91fc-d1a2cb4412cd","Holothuria","albiventer","FLMNH","1805-Echinodermata"
"108","496b4269-8f59-46dc-9249-1d6a17ad1e2e","Holothuria","albiventer","FLMNH","1717-Echinodermata"
"109","24e70003-3000-4acb-9048-cf91dd6ab253","Holothuria","albiventer","MCZ","HOL-536"
"110","c4f569f5-9cd3-4c41-b757-3be29a507875","Holothuria","albiventer","CAS","199875"
"111","17a3e747-e2dc-4d6f-83af-603effa3560c","Holothuria","albiventer","FLMNH","15474-Echinodermata"
"112","0c601a18-b230-48ff-b809-ea9ca05a4c8a","Holothuria","albiventer","FLMNH","6675-Echinodermata"
"113","857b98c2-014d-492d-b882-a22df05ffdd9","Holothuria","albiventer","FLMNH","3630-Echinodermata"
"114","455795a2-8c9c-4b52-81da-26c7f3fc8c85","Holothuria","albiventer","FLMNH","7312-Echinodermata"
"115","a622ae33-4f85-48ec-9f42-8f8a74343415","Holothuria","albiventer","FLMNH","7490-Echinodermata"
"116","74bf6987-5bde-4051-8be9-178d6467824d","Holothuria","albiventer","FLMNH","7556-Echinodermata"
"117","d92c6126-9e66-427f-9128-4808e6f83a56","Holothuria","albiventer","FLMNH","7308-Echinodermata"
"118","47db35b8-1359-4a28-b0b2-0fc227ae5bcc","Holothuria","albiventer","MCZ","HOL-567"
"119","de97db6e-10a9-4ed9-9637-f39cfe7d931e","Holothuria","albiventer","FLMNH","11032-Echinodermata"
"120","43fb77c5-c46d-4b0b-b8e0-723023f137a2","Holothuria","albiventer","FLMNH","15012-Echinodermata"
"121","def46712-204b-4faa-ba6f-e7516707b207","Holothuria","albiventer","MCZ","HOL-1361"
"122","7aa101c5-5fd7-44f2-883a-aeec6dbbe86e","Holothuria","albiventer","FLMNH","15473-Echinodermata"
"123","c994f260-ecb5-4cd6-a8f8-e87d84cadb17","Holothuria","albiventer","FLMNH","8429-Echinodermata"
"124","2f65a11a-f88f-49aa-86c8-663528d68ff0","Holothuria","albofusca","FLMNH","1794-Echinodermata"
"126","1a3393bf-c93e-4f02-9840-9a2827002097","Holothuria","anulifera","FLMNH","8009-Echinodermata"
"127","5ca4029b-b3c5-4e61-abef-b22dbc70b021","Holothuria","aphanes","FLMNH","16247-Echinodermata"
"128","8238afc8-ece7-4c3f-aa85-cad20f42650a","Holothuria","arenicola","MCZ","HOL-4067"
"129","2cffc4e4-8b3f-4ad5-84ee-d997a49ffd44","Holothuria","arenicola","FLMNH","15817-Echinodermata"
"130","b1d9207e-1d0f-4c0a-9bd1-46f8bc44b864","Holothuria","arenicola","FLMNH","11520-Echinodermata"
"131","e4854700-5634-498e-afc8-73f361ceda78","Holothuria","arenicola","MCZ","HOL-1058"
"132","0cea8895-6e1b-4474-9e22-9a0e6d431a00","Holothuria","arenicola","MCZ","125735"
"133","dd7cca57-13b4-43cb-abb8-1283dfbe32b8","Holothuria","arenicola","MCZ","HOL-709"
"134","1d5f7b83-e400-4fa9-aa4e-590cb1101aac","Holothuria","arenicola","FLMNH","8090-Echinodermata"
"135","288c29d7-b84d-4b6c-b4cc-42fe7e69c106","Holothuria","arenicola","FLMNH","6109-Echinodermata"
"136","33966b72-de85-4dd2-9ee2-a3af2db733ea","Holothuria","arenicola","FLMNH","9698-Echinodermata"
"137","dddfb07e-cdee-40e1-bb04-09377a9f5e4a","Holothuria","arenicola","FLMNH","938-Echinodermata"
"138","585ec3b0-78bb-4aae-aceb-583d3f942765","Holothuria","arenicola","FLMNH","12660-Echinodermata"
"139","b97cca2b-fa31-4f63-9989-1420f946e807","Holothuria","arenicola","FLMNH","15847-Echinodermata"
"140","85fe0f88-f64b-4f95-9b36-876bdd7c35c6","Holothuria","arenicola","MCZ","127880"
"141","87133d74-efd2-45c0-b59d-075b8411904d","Holothuria","arenicola","FLMNH","6115-Echinodermata"
"142","3625c2df-bb2f-4057-8e8a-1e4b4f03cdcf","Holothuria","arenicola","FLMNH","16130-Echinodermata"
"143","ae3b5fef-7dbd-4455-9947-48f57785375a","Holothuria","arenicola","FLMNH","15821-Echinodermata"
"144","6c277067-05f6-49ba-bcf2-fcf1d04468e4","Holothuria","arenicola","MCZ","127887"
"145","edf32ebe-3ee5-489c-b20d-ca9e533a32e2","Holothuria","arenicola","MCZ","127894"
"146","7c1f63af-386c-4593-b3a6-6bc917c3b971","Holothuria","arenicola","FLMNH","10994-Echinodermata"
"147","2dbf60ae-ccb0-4d67-bbdd-3de928193389","Holothuria","arenicola","MCZ","HOL-711"
"148","4b3fe83f-0635-4f44-b6ac-a81c8ca90bec","Holothuria","arenicola","MCZ","127881"
"149","deb8f8e2-4da6-449d-8f8a-4c0959b4dc20","Holothuria","arenicola","FLMNH","8139-Echinodermata"
"150","3392b8e6-a97b-4714-91f8-7bcb77c6e74a","Holothuria","arenicola","FLMNH","10947-Echinodermata"
"151","405c16b0-b20d-49f6-98c1-ae67f703e0a8","Holothuria","arenicola","MCZ","HOL-1010"
"152","d7aabfe1-398e-4d3c-b9bb-5f42021331c7","Holothuria","arenicola","MCZ","HOL-1059"
"153","ae621cef-8e76-45d9-a5ee-6cec688847a3","Holothuria","arenicola","MCZ","125732"
"154","fe5fcd6e-3c5c-423c-bdfe-b141219fdb8a","Holothuria","arenicola","MCZ","HOL-692"
"155","d96ffe8d-0c31-48f3-9dbc-3b5a0305f4ee","Holothuria","arenicola","FLMNH","1619-Echinodermata"
"156","1680accf-1cd3-4a2a-ad52-5449a57ef58f","Holothuria","arenicola","MCZ","HOL-4063"
"157","c27de6a9-d0f3-48fe-ad21-10ab4afc3daf","Holothuria","arenicola","MCZ","127883"
"158","8d21cb59-839c-43af-8fd8-8aaf2f0db2ea","Holothuria","arenicola","MCZ","HOL-1882"
"159","771dc6de-b7e2-4ea3-ba2e-ebb65edc9365","Holothuria","arenicola","MCZ","HOL-2094"
"160","a13c94b5-441d-4049-81cb-e2450df15347","Holothuria","arenicola","MCZ","127882"
"161","e980dd7a-46c2-448d-b0e7-58a999958a6c","Holothuria","arenicola","FLMNH","14086-Echinodermata"
"162","856302be-80fc-4618-b299-a55873356bf9","Holothuria","arenicola","FLMNH","5400-Echinodermata"
"163","543ed8d3-4398-40a6-b1d1-08bf3683c86a","Holothuria","arenicola","MCZ","HOL-4070"
"164","ddb63f84-303c-484b-960b-7678b3c024a7","Holothuria","arenicola","FLMNH","6108-Echinodermata"
"165","2c4b4903-d02d-4a95-8bf2-7cdad88c9250","Holothuria","arenicola","MCZ","127879"
"166","f0080b4a-9362-410f-b70b-0d7a5d7b1c74","Holothuria","arenicola","FLMNH","11531-Echinodermata"
"167","a5edb78d-14db-4efb-bfbf-9310d1a2c257","Holothuria","arenicola","FLMNH","16140-Echinodermata"
